                         _sumN	     4	              TK_FUNID	 ------	             function	 yes	                 ----


                          ----	 -----	                ------	 -----	       otherFunctions	  no	             function


                         input	     4	              TK_INPUT	 ------	            input_par	 yes	                 ----


                          ----	 -----	                ------	 -----	             function	  no	            input_par


                     parameter	     4	          TK_PARAMETER	 ------	            input_par	 yes	                 ----


                          list	     4	               TK_LIST	 ------	            input_par	 yes	                 ----


                             [	     4	                TK_SQL	 ------	            input_par	 yes	                 ----


                           int	     4	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	            input_par	  no	       parameter_list


                        d5cc34	     4	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                             ]	     4	                TK_SQR	 ------	            input_par	 yes	                 ----


                        output	     5	             TK_OUTPUT	 ------	           output_par	 yes	                 ----


                          ----	 -----	                ------	 -----	             function	  no	           output_par


                     parameter	     5	          TK_PARAMETER	 ------	           output_par	 yes	                 ----


                          list	     5	               TK_LIST	 ------	           output_par	 yes	                 ----


                             [	     5	                TK_SQL	 ------	           output_par	 yes	                 ----


                          real	     5	               TK_REAL	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	           output_par	  no	       parameter_list


                            d3	     5	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                             ]	     5	                TK_SQR	 ------	           output_par	 yes	                 ----


                             ;	     5	                TK_SEM	 ------	             function	 yes	                 ----


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	      typeDefinitions


                          ----	 -----	                ------	 -----	             function	  no	                stmts


                          type	     6	               TK_TYPE	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                           int	     6	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                             :	     6	              TK_COLON	 ------	          declaration	 yes	                 ----


                        b5b567	     6	                 TK_ID	 ------	          declaration	 yes	                 ----


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	        global_or_not


                             ;	     6	                TK_SEM	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	         declarations


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


