                      _swpints	     1	              TK_FUNID	 ------	             function	 yes	                 ----


                          ----	 -----	                ------	 -----	       otherFunctions	  no	             function


                         input	     3	              TK_INPUT	 ------	            input_par	 yes	                 ----


                          ----	 -----	                ------	 -----	             function	  no	            input_par


                     parameter	     3	          TK_PARAMETER	 ------	            input_par	 yes	                 ----


                          list	     3	               TK_LIST	 ------	            input_par	 yes	                 ----


                             [	     3	                TK_SQL	 ------	            input_par	 yes	                 ----


                           int	     3	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	            input_par	  no	       parameter_list


                           b2b	     3	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ,	     3	              TK_COMMA	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                           int	     3	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	       remaining_list	  no	       parameter_list


                           b2c	     3	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ]	     3	                TK_SQR	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                             ]	     3	                TK_SQR	 ------	            input_par	 yes	                 ----


                        output	     5	             TK_OUTPUT	 ------	           output_par	 yes	                 ----


                          ----	 -----	                ------	 -----	             function	  no	           output_par


                     parameter	     5	          TK_PARAMETER	 ------	           output_par	 yes	                 ----


                          list	     5	               TK_LIST	 ------	           output_par	 yes	                 ----


                             [	     5	                TK_SQL	 ------	           output_par	 yes	                 ----


                           int	     5	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	           output_par	  no	       parameter_list


                           c2b	     5	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ,	     5	              TK_COMMA	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                           int	     5	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	       remaining_list	  no	       parameter_list


                           c2c	     5	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ]	     5	                TK_SQR	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                             ]	     5	                TK_SQR	 ------	           output_par	 yes	                 ----


                             ;	     5	                TK_SEM	 ------	             function	 yes	                 ----


                           c2b	     7	                 TK_ID	 ------	      typeDefinitions	 yes	                 ----


