                    _readMarks	     8	              TK_FUNID	 ------	             function	 yes	                 ----


                          ----	 -----	                ------	 -----	       otherFunctions	  no	             function


                           int	     8	                TK_INT	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	            input_par	  no	             dataType


                          ----	 -----	                ------	 -----	             function	  no	            input_par


                            b7	     8	                 TK_ID	 ------	            input_par	 yes	                 ----


                       #mmarks	     9	           TK_RECORDID	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	           output_par	  no	             dataType


                          ----	 -----	                ------	 -----	             function	  no	           output_par


                         b3c45	     9	                 TK_ID	 ------	           output_par	 yes	                 ----


                          ----	 -----	                ------	 -----	             function	  no	                stmts


                         b3c45	    10	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                         maths	    10	            TK_FIELDID	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	               new_24


                          ----	 -----	                ------	 -----	                stmts	  no	           otherStmts


                         b3c45	    11	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                       physics	    11	            TK_FIELDID	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	               new_24


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                         b3c45	    12	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                     chemistry	    12	            TK_FIELDID	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	               new_24


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                         b3c45	    13	                 TK_ID	 ------	           returnStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	           returnStmt


                          ----	 -----	                ------	 -----	              program	  no	       otherFunctions


                        ------	 -----	                 -----	 ------	                 ROOT	  no	                 ----


                       #mmarks	    21	           TK_RECORDID	 ------	       typeDefinition	 yes	                 ----


                          ----	 -----	                ------	 -----	      typeDefinitions	  no	       typeDefinition


                          real	    22	               TK_REAL	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	      fieldDefinition	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	     fieldDefinitions	  no	      fieldDefinition


                         maths	    22	            TK_FIELDID	 ------	      fieldDefinition	 yes	                 ----


                          ----	 -----	                ------	 -----	       typeDefinition	  no	     fieldDefinitions


                          real	    23	               TK_REAL	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	      fieldDefinition	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	     fieldDefinitions	  no	      fieldDefinition


                       physics	    23	            TK_FIELDID	 ------	      fieldDefinition	 yes	                 ----


                          real	    24	               TK_REAL	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	      fieldDefinition	  no	    primitiveDatatype


