rule:5	                         _sumN	     4	              TK_FUNID	 ------	             function	 yes	                 ----


rule:3	                          ----	 -----	                ------	 -----	       otherFunctions	  no	             function


rule:6	                         input	     4	              TK_INPUT	 ------	            input_par	 yes	                 ----


rule:5	                          ----	 -----	                ------	 -----	             function	  no	            input_par


rule:6	                     parameter	     4	          TK_PARAMETER	 ------	            input_par	 yes	                 ----


rule:6	                          list	     4	               TK_LIST	 ------	            input_par	 yes	                 ----


rule:6	                             [	     4	                TK_SQL	 ------	            input_par	 yes	                 ----


rule:12	                           int	     4	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


rule:10	                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


rule:9	                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


rule:6	                          ----	 -----	                ------	 -----	            input_par	  no	       parameter_list


rule:9	                        d5cc34	     4	                 TK_ID	 ------	       parameter_list	 yes	                 ----


rule:16	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:9	                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


rule:6	                             ]	     4	                TK_SQR	 ------	            input_par	 yes	                 ----


rule:7	                        output	     5	             TK_OUTPUT	 ------	           output_par	 yes	                 ----


rule:5	                          ----	 -----	                ------	 -----	             function	  no	           output_par


rule:7	                     parameter	     5	          TK_PARAMETER	 ------	           output_par	 yes	                 ----


rule:7	                          list	     5	               TK_LIST	 ------	           output_par	 yes	                 ----


rule:7	                             [	     5	                TK_SQL	 ------	           output_par	 yes	                 ----


rule:13	                          real	     5	               TK_REAL	 ------	    primitiveDatatype	 yes	                 ----


rule:10	                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


rule:9	                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


rule:7	                          ----	 -----	                ------	 -----	           output_par	  no	       parameter_list


rule:9	                            d3	     5	                 TK_ID	 ------	       parameter_list	 yes	                 ----


rule:16	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:9	                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


rule:7	                             ]	     5	                TK_SQR	 ------	           output_par	 yes	                 ----


rule:5	                             ;	     5	                TK_SEM	 ------	             function	 yes	                 ----


rule:19	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:17	                          ----	 -----	                ------	 -----	                stmts	  no	      typeDefinitions


rule:5	                          ----	 -----	                ------	 -----	             function	  no	                stmts


rule:27	                          type	     6	               TK_TYPE	 ------	          declaration	 yes	                 ----


rule:25	                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


rule:12	                           int	     6	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


rule:10	                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


rule:27	                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


rule:27	                             :	     6	              TK_COLON	 ------	          declaration	 yes	                 ----


rule:27	                        b5b567	     6	                 TK_ID	 ------	          declaration	 yes	                 ----


